date,name,position,adp
2026-07-11,Josh Allen,QB,1.2
2026-07-11,Bijan Robinson,RB,2.4
2026-07-11,Drake Maye,QB,3.5
2026-07-11,Jahmyr Gibbs,RB,4.5
2026-07-11,Ja'Marr Chase,WR,5.2
2026-07-11,Puka Nacua,WR,6.4
2026-07-11,Jaxon Smith-Njigba,WR,7.2
2026-07-11,Jayden Daniels,QB,8.0
2026-07-11,Christian McCaffrey,RB,9.7
2026-07-11,Joe Burrow,QB,10.4
2026-07-11,Lamar Jackson,QB,11.1
2026-07-11,Jonathan Taylor,RB,12.5
2026-07-11,James Cook,RB,13.8
2026-07-11,Caleb Williams,QB,14.2
2026-07-11,CeeDee Lamb,WR,15.6
2026-07-11,Amon-Ra St. Brown,WR,16.3
2026-07-11,Justin Jefferson,WR,17.6
2026-07-11,Drake London,WR,18.6
2026-07-11,Kenneth Walker,RB,19.4
2026-07-11,Ashton Jeanty,RB,20.5
2026-07-11,De'Von Achane,RB,21.2
2026-07-11,Trey McBride,TE,22.3
2026-07-11,Jaxson Dart,QB,23.2
2026-07-11,Justin Herbert,QB,24.9
2026-07-11,Jalen Hurts,QB,25.3
2026-07-11,Patrick Mahomes,QB,26.1
2026-07-11,Omarion Hampton,RB,27.9
2026-07-11,Malik Nabers,WR,28.4
2026-07-11,Saquon Barkley,RB,29.3
2026-07-11,Jeremiyah Love,RB,31.0
2026-07-11,Trevor Lawrence,QB,32.0
2026-07-11,Nico Collins,WR,32.7
2026-07-11,Bo Nix,QB,33.4
2026-07-11,Chase Brown,RB,34.5
2026-07-11,George Pickens,WR,35.9
2026-07-11,Brock Purdy,QB,36.2
2026-07-11,Brock Bowers,TE,37.4
2026-07-11,Chris Olave,WR,39.0
2026-07-11,Fernando Mendoza,QB,39.5
2026-07-11,Josh Jacobs,RB,40.1
2026-07-11,A.J. Brown,WR,41.4
2026-07-11,Bucky Irving,RB,42.1
2026-07-11,Rashee Rice,WR,44.0
2026-07-11,Dak Prescott,QB,44.1
2026-07-11,Derrick Henry,RB,45.7
2026-07-11,Tee Higgins,WR,46.5
2026-07-11,Tetairoa McMillan,WR,47.2
2026-07-11,Breece Hall,RB,48.4
2026-07-11,Jordan Love,QB,50.0
2026-07-11,Kyren Williams,RB,50.6
2026-07-11,Garrett Wilson,WR,51.4
2026-07-11,Luther Burden,WR,52.8
2026-07-11,Travis Etienne,RB,54.0
2026-07-11,Javonte Williams,RB,54.8
2026-07-11,Jaylen Waddle,WR,55.3
2026-07-11,Davante Adams,WR,56.5
2026-07-11,Ladd McConkey,WR,57.3
2026-07-11,Colston Loveland,TE,58.4
2026-07-11,Zay Flowers,WR,60.0
2026-07-11,Jameson Williams,WR,60.9
2026-07-11,TreVeyon Henderson,RB,61.5
2026-07-11,DeVonta Smith,WR,63.0
2026-07-11,Emeka Egbuka,WR,63.7
2026-07-11,Baker Mayfield,QB,64.0
2026-07-11,Jared Goff,QB,65.1
2026-07-11,Terry McLaurin,WR,67.0
2026-07-11,Tyler Warren,TE,67.4
2026-07-11,RJ Harvey,RB,68.3
2026-07-11,DJ Moore,WR,69.9
2026-07-11,Cam Skattebo,RB,70.8
