name,position,team,adp,projection,bye,tier,rank_overall,rank_position
Josh Allen,QB,BUF,1.2,361.5,0,99,1,999
Bijan Robinson,RB,ATL,2.4,292.9,0,99,2,999
Drake Maye,QB,NE,3.5,311.56,0,99,3,999
Jahmyr Gibbs,RB,DET,4.5,277.9,0,99,4,999
Ja'Marr Chase,WR,CIN,5.2,250.6,0,99,5,999
Puka Nacua,WR,LAR,6.4,259.0,0,99,6,999
Jaxon Smith-Njigba,WR,SEA,7.2,235.1,0,99,7,999
Jayden Daniels,QB,WAS,8.0,313.72,0,99,8,999
Christian McCaffrey,RB,SF,9.7,256.0,0,99,9,999
Joe Burrow,QB,CIN,10.4,306.12,0,99,10,999
Lamar Jackson,QB,BAL,11.1,317.26,0,99,11,999
Jonathan Taylor,RB,IND,12.5,254.3,0,99,12,999
James Cook,RB,BUF,13.8,245.3,0,99,13,999
Caleb Williams,QB,CHI,14.2,299.34,0,99,14,999
CeeDee Lamb,WR,DAL,15.6,222.5,0,99,15,999
Amon-Ra St. Brown,WR,DET,16.3,227.5,0,99,16,999
Justin Jefferson,WR,MIN,17.6,202.1,0,99,17,999
Drake London,WR,ATL,18.6,197.7,0,99,18,999
Kenneth Walker,RB,KC,19.4,210.0,0,99,19,999
Ashton Jeanty,RB,LV,20.5,234.5,0,99,20,999
De'Von Achane,RB,MIA,21.2,222.0,0,99,21,999
Trey McBride,TE,ARI,22.3,191.4,0,99,22,999
Jaxson Dart,QB,NYG,23.2,300.54,0,99,23,999
Justin Herbert,QB,LAC,24.9,303.3,0,99,24,999
Jalen Hurts,QB,PHI,25.3,310.54,0,99,25,999
Patrick Mahomes,QB,KC,26.1,278.62,0,99,26,999
Omarion Hampton,RB,LAC,27.9,217.9,0,99,27,999
Malik Nabers,WR,NYG,28.4,202.4,0,99,28,999
Saquon Barkley,RB,PHI,29.3,226.0,0,99,29,999
Jeremiyah Love,RB,ARI,31.0,212.5,0,99,30,999
Trevor Lawrence,QB,JAX,32.0,303.42,0,99,31,999
Nico Collins,WR,HOU,32.7,198.0,0,99,32,999
Bo Nix,QB,DEN,33.4,295.72,0,99,33,999
Chase Brown,RB,CIN,34.5,205.8,0,99,34,999
George Pickens,WR,DAL,35.9,197.9,0,99,35,999
Brock Purdy,QB,SF,36.2,295.66,0,99,36,999
Brock Bowers,TE,LV,37.4,188.0,0,99,37,999
Chris Olave,WR,NO,39.0,189.8,0,99,38,999
Fernando Mendoza,QB,LV,39.5,212.16,0,99,39,999
Josh Jacobs,RB,GB,40.1,199.3,0,99,40,999
A.J. Brown,WR,PHI,41.4,195.8,0,99,41,999
Bucky Irving,RB,TB,42.1,179.3,0,99,42,999
Rashee Rice,WR,KC,44.0,162.0,0,99,43,999
Dak Prescott,QB,DAL,44.1,309.88,0,99,44,999
Derrick Henry,RB,BAL,45.7,236.2,0,99,45,999
Tee Higgins,WR,CIN,46.5,174.6,0,99,46,999
Tetairoa McMillan,WR,CAR,47.2,178.9,0,99,47,999
Breece Hall,RB,NYJ,48.4,195.6,0,99,48,999
Jordan Love,QB,GB,50.0,282.52,0,99,49,999
