season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2019,1,1,1,t.1,Barry Sandals,Saquon Barkley,,
2019,2,1,2,t.2,Troll Toll,Christian McCaffrey,,
2019,3,1,3,t.3,BergerBoy Brigade,David Johnson,,
2019,4,1,4,t.4,The Dream Team,Le'Veon Bell,,
2019,5,1,5,t.5,Terror Squad,Ezekiel Elliott,,
2019,6,1,6,t.6,Carli Lloyd Banks,Todd Gurley,,
2019,7,1,7,t.7,Sam Darnolds a Slut,DeAndre Hopkins,,
2019,8,1,8,t.8,Weird Flex but OK,Julio Jones,,
2019,9,1,9,t.9,Guap Gang,Travis Kelce,,
2019,10,1,10,t.10,Figgy,Odell Beckham Jr.,,
2019,11,1,11,t.11,Trevor’s Semifinals,Dalvin Cook,,
2019,12,1,12,t.12,BergerBoy Brigade,Joe Mixon,,
2019,1,2,1,t.1,No Chubby Strippers,Mike Evans,,
2019,2,2,2,t.2,Trevor’s Semifinals,Kerryon Johnson,,
2019,3,2,3,t.3,Figgy,Damien Williams,,
2019,4,2,4,t.4,The Dream Team,Keenan Allen,,
2019,5,2,5,t.5,Terror Squad,Amari Cooper,,
2019,6,2,6,t.6,Sam Darnolds a Slut,Antonio Brown,,
2019,7,2,7,t.7,Carli Lloyd Banks,Leonard Fournette,,
2019,8,2,8,t.8,Terror Squad,Devonta Freeman,,
2019,9,2,9,t.9,The Dream Team,T.Y. Hilton,,
2019,10,2,10,t.10,BergerBoy Brigade,Stefon Diggs,,
2019,11,2,11,t.11,Troll Toll,Brandin Cooks,,
2019,12,2,12,t.12,Barry Sandals,Robert Woods,,
2019,1,3,1,t.1,Barry Sandals,Marlon Mack,,
2019,2,3,2,t.2,Troll Toll,Jared Goff,,
2019,3,3,3,t.3,BergerBoy Brigade,Zach Ertz,,
2019,4,3,4,t.4,The Dream Team,Aaron Rodgers,,
2019,5,3,5,t.5,Terror Squad,Kenny Golladay,,
2019,6,3,6,t.6,Carli Lloyd Banks,Tyler Lockett,,
2019,7,3,7,t.7,Sam Darnolds a Slut,Melvin Gordon III,,
2019,8,3,8,t.8,The Dream Team,Chris Carson,,
2019,9,3,9,t.9,Guap Gang,Josh Jacobs,,
2019,10,3,10,t.10,Figgy,Chris Godwin Jr.,,
2019,11,3,11,t.11,Trevor’s Semifinals,Andrew Luck,,
2019,12,3,12,t.12,BergerBoy Brigade,Cooper Kupp,,
2019,1,4,1,t.1,No Chubby Strippers,David Montgomery,,
2019,2,4,2,t.2,Trevor’s Semifinals,Matt Ryan,,
2019,3,4,3,t.3,The Dream Team,Cam Newton,,
2019,4,4,4,t.4,Guap Gang,Russell Wilson,,
